City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,tsiombe,-25.3,45.4833,68.04,79,93,13.98,MG,1723052779
119,center,31.5107,-96.4247,98.26,47,0,1.01,US,1723052780
120,constantia,44.1833,28.65,70.7,70,51,5.26,RO,1723052660
121,zeya,53.75,127.2667,62.13,96,100,4.23,RU,1723052782
122,havre,49.5833,0.3333,67.33,77,0,8.05,FR,1723052783
123,sao vicente,-23.9631,-46.3919,91.58,41,20,5.75,BR,1723052655
124,inebolu,41.9747,33.7608,73.6,74,10,2.33,TR,1723052785
125,laascaanood,8.4774,47.3597,83.82,42,70,23.96,SO,1723052787
126,kerikeri,-35.2268,173.9474,48.2,88,56,3.85,NZ,1723052788
127,mantua,45.1667,10.7833,74.95,68,35,6.26,IT,1723052789
128,pandan,14.0453,124.1694,81.5,85,43,8.14,PH,1723052791
129,miracema do tocantins,-9.5618,-48.3967,99.03,15,0,2.13,BR,1723052792
130,papatowai,-46.5619,169.4708,44.87,90,100,9.66,NZ,1723052793
131,albertina,-22.2008,-46.6158,82.8,18,0,6.96,BR,1723052794
132,aykhal,66.0,111.5,53.62,57,65,8.12,RU,1723052796
133,hermanus,-34.4187,19.2345,50.81,87,3,11.7,ZA,1723052797
134,walvis bay,-22.9575,14.5053,54.09,85,0,8.41,NA,1723052798
135,viedma,-40.8135,-62.9967,44.33,70,100,21.74,AR,1723052799
136,nagqu,31.5,92.0,43.52,71,86,3.83,CN,1723052801
137,cabo san lucas,22.8909,-109.9124,90.18,71,20,6.91,MX,1723052703
138,margaret river,-33.95,115.0667,55.94,65,27,11.36,AU,1723052804
139,chui,-33.6971,-53.4616,60.1,71,100,12.33,UY,1723052805
140,daska kalan,32.3243,74.3497,84.18,78,94,10.2,PK,1723052806
141,piacabucu,-10.4056,-36.4344,78.66,62,4,9.22,BR,1723052807
142,chern',53.4523,36.9145,61.09,87,99,1.21,RU,1723052808
143,mahina,-17.5065,-149.489,78.57,73,75,4.61,PF,1723052811
144,westport,41.1415,-73.3579,66.56,84,100,11.5,US,1723052812
145,port blair,11.6667,92.75,81.61,83,96,7.67,IN,1723052813
146,agat village,13.3886,144.6585,82.51,88,0,0.0,GU,1723052814
147,muroto-misakicho,33.2833,134.15,82.44,80,53,5.19,JP,1723052815
148,kanniyakumari,8.0833,77.5667,80.13,79,100,16.82,IN,1723052816
149,cockburn town,21.4612,-71.1419,82.62,80,100,14.74,TC,1723052817
150,javea,38.7833,0.1667,87.39,73,1,5.99,ES,1723052819
151,bengkulu,-3.8004,102.2655,74.53,90,98,3.49,ID,1723052821
152,banjarmasin,-3.3244,114.591,77.14,98,65,1.57,ID,1723052669
153,hohhot,40.8106,111.6522,64.69,82,0,4.47,CN,1723052823
154,fort mcmurray,56.7268,-111.381,65.79,52,0,4.61,CA,1723052824
155,ancud,-41.8697,-73.8203,47.93,68,3,3.76,CL,1723052825
156,cooper's town,26.8667,-77.5167,84.65,74,57,17.36,BS,1723052827
157,avarua,-21.2078,-159.775,73.45,73,20,9.22,CK,1723052828
158,kamina,-8.7386,24.9906,70.63,18,74,4.18,CD,1723052829
159,tuscania,42.4206,11.8712,87.26,73,20,8.55,IT,1723052830
160,yakeshi,49.2833,120.7333,57.16,89,18,2.55,CN,1723052831
161,chimore,-16.9833,-65.1333,81.19,73,38,1.59,BO,1723052832
162,tazacorte,28.629,-17.9293,77.97,77,20,11.5,ES,1723052833
163,ambon,-3.6954,128.1814,78.94,89,40,5.75,ID,1723052835
