City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,cody,44.5263,-109.0565,61.02,73,100,11.5,US,1723163520
124,tara,56.8944,74.371,50.04,88,6,5.77,RU,1723163521
125,luderitz,-26.6481,15.1594,55.49,71,0,6.08,NA,1723163522
126,coronel suarez,-37.4547,-61.9334,33.44,82,7,5.61,AR,1723163523
127,bikenibeu village,1.3673,173.1241,83.1,68,78,9.73,KI,1723163525
128,bardai,11.65,7.2333,70.09,94,100,9.4,NG,1723163526
129,thunder bay,48.4001,-89.3168,64.38,52,75,10.36,CA,1723163527
130,santiago de chuco,-8.15,-78.1833,53.91,55,81,0.47,PE,1723163528
131,egersund,58.4513,5.9997,58.84,93,100,17.52,NO,1723163529
132,amga,60.8953,131.9608,70.11,48,21,1.92,RU,1723163530
133,isafjordur,66.0755,-23.124,42.24,93,100,7.47,IS,1723163451
134,lihue,21.9789,-159.3672,83.79,63,40,12.66,US,1723163532
135,ejirin,6.6142,3.9002,73.31,88,98,4.12,NG,1723163533
136,brisas de zicatela,15.8369,-97.0419,82.92,83,100,11.5,MX,1723163534
137,tiksi,71.6872,128.8694,41.47,90,100,13.11,RU,1723163441
138,amahai,-3.3333,128.9167,78.96,83,50,12.86,ID,1723163537
139,egilsstadir,65.2653,-14.3948,44.51,93,75,3.44,IS,1723163538
140,binh long,11.6512,106.6071,80.92,86,32,5.79,VN,1723163539
141,blair,41.5444,-96.125,70.9,53,0,10.36,US,1723163540
142,maslyanino,54.3436,84.2111,60.64,97,100,5.01,RU,1723163541
143,kristiansund,63.1115,7.732,56.05,88,75,4.61,NO,1723163542
144,kill devil hills,36.0307,-75.676,81.99,85,100,13.8,US,1723163543
145,zarechnyy,53.2036,45.1923,58.48,94,100,0.65,RU,1723163544
146,haiku-pauwela,20.9219,-156.3051,82.42,73,40,27.63,US,1723163545
147,college,64.8569,-147.8028,69.78,70,100,10.36,US,1723163546
148,lamu,-2.2717,40.902,74.82,76,70,13.29,KE,1723163547
149,labrador city,52.9463,-66.9114,57.18,58,20,7.0,CA,1723163549
150,nadi,-17.8,177.4167,82.4,51,75,10.36,FJ,1723163550
151,sao gabriel da cachoeira,-0.1303,-67.0892,77.34,81,12,1.79,BR,1723163551
152,carauari,-4.8828,-66.8958,86.13,43,100,1.03,BR,1723163552
153,ribeira grande,38.5167,-28.7,71.78,85,0,5.01,PT,1723163553
154,anavyssos,37.7333,23.95,74.88,54,0,8.19,GR,1723163554
155,constantia,44.1833,28.65,69.58,76,0,4.94,RO,1723163555
156,brainerd,46.358,-94.2008,64.42,68,75,10.36,US,1723163556
157,muynoq,43.7683,59.0214,79.03,50,0,9.55,UZ,1723163557
158,kosti,13.1629,32.6635,78.49,80,100,4.29,SD,1723163558
159,iskateley,67.6803,53.1512,44.26,80,19,5.08,RU,1723163556
160,itoman,26.1247,127.6694,88.57,79,20,4.61,JP,1723163561
161,vila velha,-20.3297,-40.2925,73.94,79,40,11.5,BR,1723163562
162,island harbour,50.724,-1.2758,64.99,95,100,10.0,GB,1723163563
163,flin flon,54.7682,-101.865,69.12,39,60,4.38,CA,1723163564
164,serdobsk,52.4586,44.2169,57.56,91,100,4.16,RU,1723163565
165,rikaze,29.25,88.8833,48.34,83,100,2.66,CN,1723163566
166,uturoa,-16.7333,-151.4333,78.19,81,7,10.33,PF,1723163567
167,vilyuchinsk,52.9306,158.4028,56.32,98,100,4.54,RU,1723163568
168,dolores,-36.3132,-57.6792,45.28,89,100,18.95,AR,1723163569
169,port douglas,-16.4833,145.4667,72.75,75,30,12.59,AU,1723163570
170,anadyr,64.75,177.4833,48.7,70,75,4.47,RU,1723163461
